url,id,region,province,locality,zip_code,Longitude,Latitude,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,energy_type,EPC_score,EnergyConsumptionPerSqm,parking_outdoor,parking_indoor,price_per_sqm
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/11173616,11173616.0,Flanders,West Flanders,Nieuwpoort,8620.0,,,APARTMENT,APARTMENT,825000.0,3.0,128.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,TO_RENOVATE,unknown,C,266.0,,,6445.31
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11170737,11170737.0,Flanders,West Flanders,Knokke-Heist,8300.0,3.302557,51.3550698,APARTMENT,APARTMENT,1045000.0,2.0,100.0,unknown,,,1,0.0,0,0.0,0.0,2.0,,TO_BE_DONE_UP,GAS,B,106.0,,,10450.0
https://www.immoweb.be/en/classified/flat-studio/for-sale/hasselt/3500/11170731,11170731.0,Flanders,Limburg,Hasselt,3500.0,5.3468128,50.9319064,APARTMENT,FLAT_STUDIO,105000.0,0.0,28.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,GOOD,ELECTRIC,D,304.0,,,3750.0
https://www.immoweb.be/en/classified/penthouse/for-sale/roeselare/8800/11170724,11170724.0,Flanders,West Flanders,Roeselare,8800.0,3.119135,50.9476263,APARTMENT,PENTHOUSE,850000.0,2.0,151.0,unknown,,,1,30.0,0,0.0,0.0,2.0,,GOOD,unknown,B,151.0,,2.0,5629.14
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11170696,11170696.0,Flanders,Antwerp,Antwerp,2018.0,4.4234353,51.2102675,APARTMENT,APARTMENT,375000.0,2.0,98.0,INSTALLED,,-1.0,1,15.0,0,0.0,0.0,3.0,,GOOD,GAS,B,103.0,,1.0,3826.53
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11170689,11170689.0,Brussels,Brussels,Ixelles,1050.0,,,APARTMENT,APARTMENT,540000.0,3.0,130.0,unknown,,-1.0,1,14.0,0,0.0,0.0,2.0,,GOOD,GAS,D,159.0,,,4153.85
https://www.immoweb.be/en/classified/flat-studio/for-sale/molenbeek/1080/11172825,11172825.0,Brussels,Brussels,MOLENBEEK,1080.0,,,APARTMENT,FLAT_STUDIO,123000.0,0.0,40.0,SEMI_EQUIPPED,1.0,-1.0,1,6.0,0,0.0,0.0,2.0,,TO_RENOVATE,FUELOIL,F,290.0,,,3075.0
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11172819,11172819.0,Brussels,Brussels,Bruxelles,1000.0,,,APARTMENT,APARTMENT,375000.0,2.0,169.0,USA_SEMI_EQUIPPED,0.0,,1,3.0,0,0.0,0.0,2.0,False,GOOD,FUELOIL,E,225.0,,,2218.93
https://www.immoweb.be/en/classified/apartment/for-sale/ieper/8900/11172818,11172818.0,Flanders,West Flanders,Ieper,8900.0,2.8785656,50.8489554,APARTMENT,APARTMENT,155000.0,1.0,51.0,INSTALLED,0.0,,0,0.0,0,0.0,0.0,4.0,False,GOOD,GAS,C,259.0,,,3039.22
https://www.immoweb.be/en/classified/apartment/for-sale/ieper/8900/11172817,11172817.0,Flanders,West Flanders,Ieper,8900.0,2.8785656,50.8489554,APARTMENT,APARTMENT,155000.0,1.0,39.0,INSTALLED,0.0,,0,0.0,0,0.0,0.0,4.0,False,GOOD,GAS,D,307.0,,,3974.36
